Study;Subsample;Clusters;Pairs;Measure;MonoN;MonoMean;MonoSD;BiN;BiMean;BiSD;Year_0f_Publication;Peer;Country;Sample description;L1;L2;LanguagePair;AgeGroup;B_AgeM;B_AgeSD;M_AgeM;M_AgeSD;AoA_early;AoA_child;Prof_L2;Immigrant;IQ_match;Educ_match;Vocab_match;Stimuli;StimulusMaterial;TestingLanguage;Task;Domain;TaskMeasure;MeasureType;TaskVersion;RT/ACC;Reverse 
Salvatierra & Rosselli (2010);1;176;224;435;66;433,98;70,5;67;451,42;64,7;2010;peer;USA;College students;ENG;SPA;EngSpa;younger;26,67;6,6;25,88;6,4;other;other;other;NA;1;1;3;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Salvatierra & Rosselli (2010);2;177;225;436;42;66,9;61,1;58;30,74;41,9;2010;peer;USA;Friends and family of the college students;ENG;SPA;EngSpa;older;64,84;7,3;63,4;8,4;other;other;other;NA;1;1;3;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Salvatierra & Rosselli (2010);2;177;225;437;42;470,45;67;58;499,94;150,5;2010;peer;USA;Friends and family of the college students;ENG;SPA;EngSpa;older;64,84;7,3;63,4;8,4;other;other;other;NA;1;1;3;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Sandoval (2010);1;181;229;76;10;17;5,2;36;20,3;4,3;2010;other;USA;University students;ENG;SPA;EngSpa;younger;18,8;0,8;20,1;1,7;early;child;high;NA;NA;1;NA;5 semantic categories (dominant language, no information on L1/L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Sandoval (2010);1;181;229;301;10;10,9;3,9;36;14,7;3,9;2010;other;USA;University students;ENG;SPA;EngSpa;younger;18,8;0,8;20,1;1,7;early;child;high;NA;NA;1;NA;ENG letters: FASL, SPA letters: PMRD (dominant language, no information on L1/L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Wodniecka et al. (2010);1;203;255;590;22;7,7;1,8;22;7,5;2,1;2010;peer;CAN;Undergraduate students;ENG;> 2;other;younger;20,2;1,6;20,7;1,8;NA;NA;high;Two;1;1;3;Digits (ENG/L1, L2);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Wodniecka et al. (2010);1;203;255;591;22;8,9;2,5;22;10,6;2;2010;peer;CAN;Undergraduate students;ENG;> 2;other;younger;20,2;1,6;20,7;1,8;NA;NA;high;Two;1;1;3;Digits (ENG/L1, L2);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Wodniecka et al. (2010);1;203;255;483;22;9,2;2;22;9,9;1,7;2010;peer;CAN;Undergraduate students;ENG;> 2;other;younger;20,2;1,6;20,7;1,8;NA;NA;high;Two;1;1;3;Blocks;NV;0;SimpleSpan;WM;SimpleSpan;Forward;Corsi;3;reversed
Wodniecka et al. (2010);1;203;255;484;22;8;2,2;22;8,5;1,6;2010;peer;CAN;Undergraduate students;ENG;> 2;other;younger;20,2;1,6;20,7;1,8;NA;NA;high;Two;1;1;3;Blocks;NV;NA;SimpleSpan;WM;SimpleSpan;Backward;Corsi;3;reversed
Wodniecka et al. (2010);2;204;256;593;19;7,7;2,4;19;8,6;1,5;2010;peer;CAN;Undergraduate students;ENG;> 2;other;older;72;6,2;71,7;8,2;NA;NA;high;One;1;1;3;Digits (ENG/L1, L2);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Wodniecka et al. (2010);2;204;256;592;19;6,9;1,7;19;6,9;2,4;2010;peer;CAN;Undergraduate students;ENG;> 2;other;older;72;6,2;71,7;8,2;NA;NA;high;One;1;1;3;Digits (ENG/L1, L2);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Wodniecka et al. (2010);2;204;256;485;19;6,7;1,6;19;6,5;1,7;2010;peer;CAN;Undergraduate students;ENG;> 2;other;older;72;6,2;71,7;8,2;NA;NA;high;One;1;1;3;Blocks;NV;0;SimpleSpan;WM;SimpleSpan;Forward;Corsi;3;reversed
Wodniecka et al. (2010);2;204;256;486;19;5,7;1,8;19;5,6;1,1;2010;peer;CAN;Undergraduate students;ENG;> 2;other;older;72;6,2;71,7;8,2;NA;NA;high;One;1;1;3;Blocks;NV;NA;SimpleSpan;WM;SimpleSpan;Backward;Corsi;3;reversed
Wodniecka et al. (2010);3;205;257;337;26;6,1;0,9;24;5,6;1,2;2010;peer;CAN;Undergraduate students;ENG;> 2;other;younger;21,2;1,6;22,1;5;other;child;high;Two;1;1;2;Sequence of dots;NV;NA;LNS;WM;LNS;LNS;MatrixSpan;3;reversed
Wodniecka et al. (2010);4;206;258;338;23;4,2;1,3;20;4,1;1,1;2010;peer;CAN;Community-dwelling residents;ENG;> 2;other;older;71,4;5,9;68,6;8,2;other;other;high;One;1;1;2;Sequence of dots;NV;NA;LNS;WM;LNS;LNS;MatrixSpan;3;reversed
Billig & Scholl (2011);1;30;38;685;21;46,6;191,7;20;28,3;215,9;2011;peer;BRA;Younger adults;POR;HUN;PorHun;younger;49,8;3,5;48,3;4,2;other;child;high;Three;NA;3;NA;Words (POR/L2);V;2;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Billig & Scholl (2011);1;30;38;656;21;92,9;188,1;20;19,5;187,8;2011;peer;BRA;Younger adults;POR;HUN;PorHun;younger;49,8;3,5;48,3;4,2;other;child;high;Three;NA;3;NA;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Effect;SpatialStroop;1;
Billig & Scholl (2011);1;30;38;686;21;693,8;269,1;20;632,4;203,9;2011;peer;BRA;Younger adults;POR;HUN;PorHun;younger;49,8;3,5;48,3;4,2;other;child;high;Three;NA;3;NA;Words (POR/L2);V;2;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;1;
Billig & Scholl (2011);1;30;38;657;21;624,6;253,9;20;569;175,4;2011;peer;BRA;Younger adults;POR;HUN;PorHun;younger;49,8;3,5;48,3;4,2;other;child;high;Three;NA;3;NA;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;Congruent;SpatialStroop;1;
Billig & Scholl (2011);2;31;39;687;21;43,7;168,7;21;63;117,6;2011;peer;BRA;Older adults;POR;HUN;PorHun;older;65,3;3,2;65,2;3,1;other;child;high;Three;NA;1;NA;Words (POR/L2);V;2;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Billig & Scholl (2011);2;31;39;658;21;100,3;176,4;21;57,8;167,5;2011;peer;BRA;Older adults;POR;HUN;PorHun;older;65,3;3,2;65,2;3,1;other;child;high;Three;NA;1;NA;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Effect;SpatialStroop;1;
Billig & Scholl (2011);2;31;39;688;21;814,2;369,9;21;721,6;319,6;2011;peer;BRA;Older adults;POR;HUN;PorHun;older;65,3;3,2;65,2;3,1;other;child;high;Three;NA;1;NA;Words (POR/L2);V;2;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;1;
Billig & Scholl (2011);2;31;39;659;21;881,4;477;21;749,8;401;2011;peer;BRA;Older adults;POR;HUN;PorHun;older;65,3;3,2;65,2;3,1;other;child;high;Three;NA;1;NA;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;Congruent;SpatialStroop;1;
Blumenfeld & Marian (2011);1;33;41;636;30;93,4;6,57;30;90,2;6,57;2011;peer;USA;Young adults;ENG;SPA;EngSpa;younger;22;5,1;21,4;3,9;early;child;high;NA;1;NA;1;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;GlobalAcc;SpatialStroop;2;reversed
Blumenfeld & Marian (2011);1;33;41;500;30;17,6;2,5;30;17,5;2,1;2011;peer;USA;Young adults;ENG;SPA;EngSpa;younger;22;5,1;21,4;3,9;early;child;high;NA;1;NA;1;2 digits/second (ENG/L1);V;1;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Bonifacci et al. (2011);1;43;54;250;16;94,58;4,85;16;90,42;22,59;2011;peer;ITA;Young adults;ITA;> 2;other;younger;18,06;3,6;19,06;1,84;NA;NA;NA;Three;1;NA;NA;Icons of a hand and foot and a tone;NV;NA;GoNogo;Inhibition;GoNogoInhibition;AccNogo;GoNogo;2;reversed
Bonifacci et al. (2011);1;43;54;251;16;9,58;22,59;16;5,42;4,85;2011;peer;ITA;Young adults;ITA;> 2;other;younger;18,06;3,6;19,06;1,84;NA;NA;NA;Three;1;NA;NA;Icons of a hand and foot and a tone;NV;NA;GoNogo;Inhibition;GoNogoInhibition;AccGoNogo;GoNogo;2;
Luk et al. (2011);1;127;159;213;38;565,2;70,3;43;557,9;80,9;2011;peer;CAN;University students;ENG;> 2;other;younger;21,1;2,1;21;1,8;early;child;high;Two;1;1;1;Chevrons;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;Flanker;1;
Luk et al. (2011);1;127;159;212;38;397,4;51,5;43;415,8;76,4;2011;peer;CAN;University students;ENG;> 2;other;younger;21,1;2,1;21;1,8;early;child;high;Two;1;1;1;Chevrons;NV;NA;Flanker;Monitoring;FlankerMonitoring;Congruent;Flanker;1;
Luk et al. (2011);1;127;159;624;43;9,7;2,3;38;9,2;2,6;2011;peer;CAN;University students;ENG;> 2;other;younger;21,1;2,1;21;1,8;early;child;high;Two;1;1;1;Wooden blocks;NV;NA;SimpleSpan;WM;SimpleSpan;All;SpatialSpan;3;reversed
Luk et al. (2011);2;127;160;215;38;565,2;70,3;42;569,8;87,2;2011;peer;CAN;University students;ENG;> 2;other;younger;21,3;2,4;21;1,8;other;child;other;One;1;1;3;Chevrons;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;Flanker;1;
Luk et al. (2011);2;127;160;214;38;397,4;51,5;42;405,7;53,3;2011;peer;CAN;University students;ENG;> 2;other;younger;21,3;2,4;21;1,8;other;child;other;One;1;1;3;Chevrons;NV;NA;Flanker;Monitoring;FlankerMonitoring;Congruent;Flanker;1;
Luk et al. (2011);2;127;160;625;42;9,1;2,6;38;9,2;2,6;2011;peer;CAN;University students;ENG;> 2;other;younger;21,3;2,4;21;1,8;other;child;other;One;1;1;3;Wooden blocks;NV;NA;SimpleSpan;WM;SimpleSpan;All;SpatialSpan;3;reversed
Prior & Gollan (2011);1;158;199;72;41;30,1;4,8;47;35,9;4;2011;peer;USA;Undergraduate students;ENG;SPA;EngSpa;younger;20;1,6;20,2;1,5;early;child;high;Two;3;1;NA;Categories: animals and fruit or clothing and vegetables (counterbalanced) (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Prior & Gollan (2011);1;158;199;822;47;235;115;41;230;86;2011;peer;USA;Undergraduate students;ENG;SPA;EngSpa;younger;20;1,6;20,2;1,5;early;child;high;Two;3;1;NA;Colour/shape;NV;NA;TaskSwitching;Monitoring;SwitchMonitoring;MixingC;ColorShape;1;
Prior & Gollan (2011);1;158;199;821;47;170;75;41;158;85;2011;peer;USA;Undergraduate students;ENG;SPA;EngSpa;younger;20;1,6;20,2;1,5;early;child;high;Two;3;1;NA;Colour/shape;NV;NA;TaskSwitching;Shifting;TShifting;SCost;ColorShape;1;
Prior & Gollan (2011);2;158;200;73;43;35,2;3,3;47;35,9;4;2011;peer;USA;Undergraduate students;ENG;MAN;EngChi;younger;19,4;1,2;20,2;1,5;early;child;high;One;1;1;NA;Categories: animals and fruit or clothing and vegetables (counterbalanced) (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Prior & Gollan (2011);2;158;200;824;47;235;115;43;223;109;2011;peer;USA;Undergraduate students;ENG;MAN;EngChi;younger;19,4;1,2;20,2;1,5;early;child;high;One;1;1;NA;Colour/shape;NV;NA;TaskSwitching;Monitoring;SwitchMonitoring;MixingC;ColorShape;1;
Prior & Gollan (2011);2;158;200;823;47;170;75;43;170;80;2011;peer;USA;Undergraduate students;ENG;MAN;EngChi;younger;19,4;1,2;20,2;1,5;early;child;high;One;1;1;NA;Colour/shape;NV;NA;TaskSwitching;Shifting;TShifting;SCost;ColorShape;1;
Soveri et al. (2011);1;188;236;580;17;6,9;1;18;6,1;1,2;2011;peer;FIN;Younger adults;FIN;SWE;other;younger;40,1;6,6;38,5;6,4;other;child;high;Three;NA;1;NA;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Soveri et al. (2011);1;188;236;581;17;5,8;1,3;18;5,4;1,3;2011;peer;FIN;Younger adults;FIN;SWE;other;younger;40,1;6,6;38,5;6,4;other;child;high;Three;NA;1;NA;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Soveri et al. (2011);2;189;237;582;16;4,8;0,9;14;5,1;1,1;2011;peer;FIN;Older adults;FIN;SWE;other;older;66;4;67,6;3,8;other;child;high;Three;NA;3;NA;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Soveri et al. (2011);2;189;237;583;16;6;1,3;14;6,2;0,7;2011;peer;FIN;Older adults;FIN;SWE;other;older;66;4;67,6;3,8;other;child;high;Three;NA;3;NA;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Tao et al. (2011);1;192;240;32;34;670,5;83;36;603,8;68,3;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);1;192;240;32;34;674,3;84,9;36;596;73,2;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);1;192;240;32;34;762,8;117,3;36;680,3;79,3;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);1;192;240;32;34;757,5;105,1;36;681,5;84,6;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);1;192;240;33;34;619,4;77,6;36;561,4;73,5;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);1;192;240;33;34;627,7;79,3;36;552,9;69,3;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);1;192;240;33;34;736,9;90,3;36;647,1;80;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);1;192;240;33;34;742,8;103,1;36;647,7;98,4;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);1;192;240;5;34;742,8;103,1;36;647,7;98,4;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;5;34;757,5;105,1;36;681,5;84,6;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;5;34;779,6;101,5;36;695,4;116,7;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;5;34;762,8;117,3;36;680,3;79,3;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;5;34;764;99,5;36;690,4;108,8;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;5;34;660,3;100,2;36;578,2;93,8;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;5;34;650,1;86;36;566,1;78,4;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;5;34;736,9;90,3;36;647,1;80;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);1;192;240;26;34;670,5;83;36;603,8;68,3;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Monitoring;FlankerMonitoring;Congruent;LANT;1;
Tao et al. (2011);1;192;240;26;34;674,3;84,9;36;596;73,2;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;18,9;1,3;20,4;5,5;early;child;high;One;2;1;NA;Arrows;NV;NA;Flanker;Monitoring;FlankerMonitoring;Congruent;LANT;1;
Tao et al. (2011);2;192;241;34;34;757,5;84,9;30;729,8;86,4;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);2;192;241;34;34;674,3;105,1;30;655,9;96,6;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);2;192;241;34;34;762,8;117,3;30;712,6;82,4;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);2;192;241;34;34;670,5;83;30;657,7;94,2;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerAlerting;NoCue;LANT;1;
Tao et al. (2011);2;192;241;35;34;742,8;103,1;30;693;90,1;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);2;192;241;35;34;736,9;79,3;30;684,5;79;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);2;192;241;35;34;627,7;90,3;30;583,3;81,5;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);2;192;241;35;34;619,4;77,6;30;599,5;82,3;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Attention;FlankerOrienting;CenterCue;LANT;1;
Tao et al. (2011);2;192;241;6;34;762,8;117,3;30;712,6;82,4;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;6;34;779,6;101,5;30;757,6;113,1;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;6;34;736,9;79,3;30;684,5;79;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;6;34;742,8;103,1;30;693;90,1;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;6;34;650,1;80,6;30;584,2;80,6;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;6;34;660,3;100,2;30;666,3;97,6;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;6;34;757,5;84,9;30;729,8;86,4;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;6;34;764;75,7;30;724,5;95;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;LANT;1;
Tao et al. (2011);2;192;241;27;34;670,5;83;30;657,7;94,2;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Monitoring;FlankerMonitoring;Congruent;LANT;1;
Tao et al. (2011);2;192;241;27;34;674,3;105,1;30;655,9;96,6;2011;peer;AUS;Young adults;ENG;CHI;EngChi;younger;20,8;2,5;20,4;5,5;other;child;high;One;1;1;NA;Arrows;NV;NA;Flanker;Monitoring;FlankerMonitoring;Congruent;LANT;1;
Abutalebi et al. (2012);1;1;1;124;14;693;34,9;17;733;31,6;2012;peer;ITA;Young adults;ITA;GER;other;younger;23,35;4,59;26,55;4,15;early;child;high;Three;NA;1;NA;Arrows;NV;NA;Flanker;Inhibition;FlankerInhibition;Incongruent;ANT;1;
Abutalebi et al. (2012);1;1;1;123;14;564;28,3;17;604;25,7;2012;peer;ITA;Young adults;ITA;GER;other;younger;23,35;4,59;26,55;4,15;early;child;high;Three;NA;1;NA;Arrows;NV;NA;Flanker;Monitoring;FlankerMonitoring;Congruent;ANT;1;
Bennett (2012);7;10;13;2;77;18,31;3,89;30;21,23;5,65;2012;other;USA;University students;ENG;SPA;EngSpa;younger;19,65;2,53;19,6;1,33;early;child;NA;Two;3;1;NA;Animals (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Bennett (2012);7;10;13;2;77;17,22;3,88;30;19,57;4,85;2012;other;USA;University students;ENG;SPA;EngSpa;younger;19,65;2,53;19,6;1,33;early;child;NA;Two;3;1;NA;Fruits and vegetables (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Bennett (2012);7;10;13;7;77;33,97;8,52;30;35,87;8,71;2012;other;USA;University students;ENG;SPA;EngSpa;younger;19,65;2,53;19,6;1,33;early;child;NA;Two;3;1;NA;Letters PMR (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Bennett (2012);7;10;13;7;77;34,56;9,02;30;36;8,55;2012;other;USA;University students;ENG;SPA;EngSpa;younger;19,65;2,53;19,6;1,33;early;child;NA;Two;3;1;NA;Letters CDM (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Bennett (2012);7;10;13;7;77;35,05;8,76;30;38,9;8,76;2012;other;USA;University students;ENG;SPA;EngSpa;younger;19,65;2,53;19,6;1,33;early;child;NA;Two;3;1;NA;Letters BCT (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Bennett (2012);7;10;13;7;77;33,93;8,94;30;37,1;10,05;2012;other;USA;University students;ENG;SPA;EngSpa;younger;19,65;2,53;19,6;1,33;early;child;NA;Two;3;1;NA;Letters FAS (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Bennett (2012);7;10;13;871;77;47,44;8;30;56,77;9,77;2012;other;USA;University students;ENG;SPA;EngSpa;younger;19,65;2,53;19,6;1,33;early;child;NA;Two;3;1;NA;Letters and numbers;V;0;TrailMaking;Shifting;TrailShifting;TrailB;TrailMaking;3;reversed
Bennett (2012);8;10;14;3;22;15,05;4,64;30;21,23;5,65;2012;other;USA;University students;ENG;SPA;EngSpa;younger;21,18;4,87;19,6;1,33;other;child;NA;Two;3;1;NA;Animals (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Bennett (2012);8;10;14;3;22;14,91;4,62;30;19,57;4,85;2012;other;USA;University students;ENG;SPA;EngSpa;younger;21,18;4,87;19,6;1,33;other;child;NA;Two;3;1;NA;Fruits and vegetables (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Bennett (2012);8;10;14;8;22;25,77;11,35;30;36;8,55;2012;other;USA;University students;ENG;SPA;EngSpa;younger;21,18;4,87;19,6;1,33;other;child;NA;Two;3;1;NA;Letters CDM (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Bennett (2012);8;10;14;8;22;26;10,59;30;35,87;8,71;2012;other;USA;University students;ENG;SPA;EngSpa;younger;21,18;4,87;19,6;1,33;other;child;NA;Two;3;1;NA;Letters PMR (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Bennett (2012);8;10;14;8;22;26,95;12,65;30;37,1;10,05;2012;other;USA;University students;ENG;SPA;EngSpa;younger;21,18;4,87;19,6;1,33;other;child;NA;Two;3;1;NA;Letters FAS (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
